iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Properties/AssemblyInfo.cs(6,12): warning CS0436: The type 'TokenAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs' conflicts with the imported type 'TokenAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/CSVSerializer.cs(9,2): warning CS0436: The type 'TokenAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs' conflicts with the imported type 'TokenAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/EventDispatcherExtension.cs(6,2): warning CS0436: The type 'TokenAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs' conflicts with the imported type 'TokenAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/ItemStack.cs(7,2): warning CS0436: The type 'TokenAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs' conflicts with the imported type 'TokenAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/SingletonMono.cs(7,2): warning CS0436: The type 'TokenAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs' conflicts with the imported type 'TokenAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/ItemStack.cs(10,3): warning CS0436: The type 'TokenAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs' conflicts with the imported type 'TokenAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/ItemArtifact.cs(41,3): warning CS0436: The type 'TokenAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs' conflicts with the imported type 'TokenAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/ItemArtifact.cs(8,2): warning CS0436: The type 'TokenAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs' conflicts with the imported type 'TokenAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/ItemArtifact.cs(45,4): warning CS0436: The type 'TokenAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs' conflicts with the imported type 'TokenAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/TokenAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/ItemArtifact.cs(46,4): warning CS0436: The type 'AddressAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/AddressAttribute.cs' conflicts with the imported type 'AddressAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/Cpp2ILInjected/AddressAttribute.cs'.
iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/ItemArtifact.cs(47,4): warning CS0436: The type 'NativeSourceAttribute' in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/AssetRipperInjected/NativeSourceAttribute.cs' conflicts with the imported type 'NativeSourceAttribute' in 'ACTk.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null'. Using the type defined in '/home/user/AssetRipper/iterations/015/output/Impostor/Assets/Scripts/Assembly-CSharp/AssetRipperInjected/NativeSourceAttribute.cs'.
